country,year,sex,age,suicides_no,population,suicides_per_100k
Albania,1985,female,15-24 years,7,277900.0,2.518891687657431
Albania,1985,female,25-34 years,7,246800.0,2.8363047001620743
Albania,1985,female,35-54 years,7,267500.0,2.616822429906542
Albania,1985,female,5-14 years,7,298300.0,2.3466309084813943
Albania,1985,female,55-74 years,7,138700.0,5.046863734679164
Albania,1985,female,75+ years,7,34200.0,20.46783625730994
Albania,1985,male,15-24 years,7,301400.0,2.3224950232249504
Albania,1985,male,25-34 years,7,264200.0,2.6495079485238455
Albania,1985,male,35-54 years,7,296700.0,2.3592854735422986
Albania,1985,male,5-14 years,7,325800.0,2.1485573971761815
Albania,1985,male,55-74 years,7,132500.0,5.283018867924528
Albania,1985,male,75+ years,7,21100.0,33.175355450236964
Albania,1986,female,15-24 years,7,283900.0,2.4656569214512154
Albania,1986,female,25-34 years,7,252100.0,2.7766759222530744
Albania,1986,female,35-54 years,7,273200.0,2.562225475841874
Albania,1986,female,5-14 years,7,304700.0,2.297341647522153
Albania,1986,female,55-74 years,7,141700.0,4.940014114326041
Albania,1986,female,75+ years,7,34900.0,20.05730659025788
Albania,1986,male,15-24 years,7,306700.0,2.2823606129768503
Albania,1986,male,25-34 years,7,269000.0,2.6022304832713754
Albania,1986,male,35-54 years,7,302000.0,2.317880794701987
Albania,1986,male,5-14 years,7,331600.0,2.1109770808202653
Albania,1986,male,55-74 years,7,134800.0,5.192878338278931
Albania,1986,male,75+ years,7,21400.0,32.71028037383178
Albania,1987,female,15-24 years,14,289700.0,4.8325854332067655
Albania,1987,female,25-34 years,4,257200.0,1.5552099533437014
Albania,1987,female,35-54 years,6,278800.0,2.1520803443328553
Albania,1987,female,5-14 years,0,311000.0,0.0
Albania,1987,female,55-74 years,0,144600.0,0.0
Albania,1987,female,75+ years,1,35600.0,2.808988764044944
Albania,1987,male,15-24 years,21,312900.0,6.711409395973154
Albania,1987,male,25-34 years,9,274300.0,3.2810791104629966
Albania,1987,male,35-54 years,16,308000.0,5.194805194805195
Albania,1987,male,5-14 years,0,338200.0,0.0
Albania,1987,male,55-74 years,1,137500.0,0.7272727272727272
Albania,1987,male,75+ years,1,21800.0,4.587155963302752
Albania,1988,female,15-24 years,8,295600.0,2.706359945872801
Albania,1988,female,25-34 years,5,262400.0,1.9054878048780488
Albania,1988,female,35-54 years,4,284500.0,1.40597539543058
Albania,1988,female,5-14 years,0,317200.0,0.0
Albania,1988,female,55-74 years,3,147500.0,2.0338983050847457
Albania,1988,female,75+ years,2,36400.0,5.4945054945054945
Albania,1988,male,15-24 years,17,319200.0,5.325814536340852
Albania,1988,male,25-34 years,5,279900.0,1.7863522686673812
Albania,1988,male,35-54 years,14,314100.0,4.457179242279529
Albania,1988,male,5-14 years,0,345000.0,0.0
Albania,1988,male,55-74 years,4,140200.0,2.8530670470756063
Albania,1988,male,75+ years,1,22300.0,4.484304932735426
Albania,1989,female,15-24 years,5,299900.0,1.6672224074691564
Albania,1989,female,25-34 years,2,266300.0,0.7510326699211416
Albania,1989,female,35-54 years,7,288600.0,2.4255024255024256
Albania,1989,female,5-14 years,0,321900.0,0.0
Albania,1989,female,55-74 years,1,149600.0,0.6684491978609626
Albania,1989,female,75+ years,0,37000.0,0.0
Albania,1989,male,15-24 years,12,323500.0,3.7094281298299845
Albania,1989,male,25-34 years,18,283600.0,6.346967559943582
Albania,1989,male,35-54 years,15,318400.0,4.711055276381909
Albania,1989,male,5-14 years,0,349700.0,0.0
Albania,1989,male,55-74 years,6,142100.0,4.2223786066150595
